회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
경인전자,9140,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",http://www.kie.co.kr,전자제품,,
무림P&P,9580,"표백화학펄프(B.K.P) 제조,목재가공,조림사업",http://www.moorimpnp.co.kr,종이와목재,제지,
인디에프,14990,"여성의류,남성의류,캐쥬얼웨어 제조",http://www.inthef.co.kr,"섬유,의류,신발,호화품",남북경협,
한솔피엔에스,10420,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매",http://www.hansolpns.com,,,
디와이,13570,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",http://www.dy.co.kr,기계,수소차(연료전지/부품/충전소 등),
방림,3610,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",http://www.pangrim.com,"섬유,의류,신발,호화품",,
큐로,15590,"열교환기,압력용기,저장탱크,산업용보일러 제조",http://www.curo.co.kr,기계,,
한솔케미칼,14680,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",http://www.hansolchemical.com,화학,OLED(유기 발광 다이오드),
퍼스텍,10820,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발",http://www.firsteccom.co.kr,우주항공과국방,바이오인식(생체인식),
동원산업,6040,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)",http://www.dw.co.kr,식품,구제역/광우병 수혜,동원
대덕,8060,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조",http://www.daeduckholdings.com,기타금융,PCB(FPCB 등),
한성기업,3680,"냉동식품,햄제품 제조,도매,보관/원양어업",http://www.hsep.com,식품,구제역/광우병 수혜,
이스타코,15020,부동산 분양/입시학원 운영,http://www.e-starco.co.kr,방송과엔터테인먼트,,
태림포장,11280,"골판지,골판지상자,수출용박스 제조,도매/인쇄",http://www.tailim.com,포장재,골판지 제조,
아세아제지,2310,"골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",http://www.asiapaper.co.kr,포장재,제지,
화천기계,10660,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조",http://www.hwacheon.co.kr,기계,자동차부품,
CJ씨푸드,11150,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",http://www.cjseafood.net,식품,구제역/광우병 수혜,CJ
신화실업,1770,"석도강판,표면처리강판 제조,임가공,판매",http://www.shinhwatp.com,철강,철강 중소형,
조일알미늄,18470,"알루미늄판 제조,도매",http://www.choilal.co.kr,비철금속,비철금속,
에스엘,5850,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",http://www.slworld.com,자동차부품,자동차부품,
영원무역홀딩스,9970,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제",,"섬유,의류,신발,호화품",지주사,
더존비즈온,12510,응용 소프트웨어 개발 및 공급업,http://www.douzone.com,소프트웨어,K-뉴딜지수,
보령제약,3850,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",http://www.boryung.co.kr,제약,"백신/진단시약/방역(신종플루, AI 등)",
폴루스바이오팜,7630,"정밀전자계측기,이동통신장비,무선호출기,파형관측기,인공위성수신기 제조",http://polusbiopharm.com,화장품,,
이건산업,8250,"컨테이너용합판,목재 파렛트,프레스우드 파렛트,가공목재,제재목 제조/부동산 임대",http://www.eagon.com,건축자재,리모델링/인테리어,
모나리자,12690,"화장지,미용티슈 제조,도매",http://www.monarisa.co.kr,가정용품,마스크,
대구백화점,6370,"백화점운영,임대사업(백화점 코너)",http://www.debec.co.kr,백화점과일반상점,소매유통,
우성사료,6980,"배합사료,Suit-feed(맞춤 TMR(육성우,건유우,착유우) 사료),농후사료,곡류(강피류 등 부산물) 제조,판매/부동산 임대,무역",http://www.woosungfeed.co.kr,식품,구제역/광우병 수혜,
유성기업,2920,"철도차량부품(피스턴링,실린더라이너,발브가이드,타펫트),자동차부품,주강,주물 제조,판매",http://www.ypr.co.kr,자동차부품,자동차부품,
한일철강,2220,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",http://www.hanilsteel.co.kr,철강,철강 중소형,
삼익악기,2450,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",http://www.samick.co.kr,레저용장비와제품,엔젤산업,
화성산업,2460,아파트 건설,http://www.hwasung.com,건설,건설 중소형,
디티알오토모티브,7340,자동차용 밧데리,http://www.x-probattery.co.kr,자동차부품,자동차부품,
보해양조,890,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",http://www.bohae.co.kr,음료,"주류업(주정, 에탄올 등)",
상상인증권,1290,유가증권 매매,http://www.sangsanginib.com,증권,증권,
혜인,3010,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",http://www.haein.com,기계,건설기계,
금강공업,14280,"건설가설재,강관,거푸집 제조,판매",http://www.kumkangkind.com,건축제품,강관업체(Steel pipe),
엔케이물산,9810,유연성 산업용 포장재(FIBC) 제조 판매,http://nk-ms.com,방송과엔터테인먼트,자원개발,
율촌화학,8730,"연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조",http://www.youlchon.com,포장재,골판지 제조,
신원,9270,"여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",http://www.sw.co.kr,"섬유,의류,신발,호화품",남북경협,
동방,4140,"육상운송,해상운송,항만화물하역,보관,창고,물류사업",http://www.dongbang.co.kr,항공화물운송과물류,쿠팡 관련주,
한국쉘석유,2960,"윤활유,그리스 제조,도매",http://www.shell.co.kr,석유와가스,,
